time,abs_peak_current_ka,latitude,longitude
1717229477,7.0,61.112,26.7082
1717229478,6.0,64.8156,28.8917
1717229478,4.0,68.0929,29.0005
1717229479,5.0,63.8406,23.9753
1717229479,3.0,63.7917,23.939
1717229479,5.0,60.9404,26.2894
1717229479,7.0,60.9428,26.3051
1717229479,4.0,60.8582,26.2091
1717229479,3.0,61.0037,26.3593
1717229479,11.0,60.8857,26.3945
1717229479,4.0,60.9061,26.3376
1717229479,7.0,60.9826,26.8184
1717229481,2.0,60.8443,25.8435
1717229481,2.0,60.8078,26.091
1717229481,3.0,67.5519,25.8226
1717229482,8.0,65.013,28.1117
1717229482,26.0,60.61,21.9059
1717229482,12.0,60.6167,21.9014
1717229484,3.0,63.7382,24.7557
1717229484,3.0,63.7466,24.8119
1717229484,13.0,61.0761,26.7516
1717229484,7.0,61.0757,26.7474
1717229487,6.0,67.8235,24.7403
1717229487,3.0,64.0904,24.6343
1717229487,3.0,64.0851,24.643
1717229487,10.0,64.0758,24.6555
1717229487,7.0,64.0929,24.6266
1717229487,7.0,64.0558,24.6694
1717229487,10.0,61.9504,21.6945
1717229487,9.0,61.9795,21.6743
1717229487,5.0,61.9771,21.6649
1717229488,6.0,61.0108,27.6753
1717229488,6.0,60.9539,27.5522
1717229488,6.0,61.0595,28.5546
1717229488,6.0,61.0125,27.6919
1717229488,3.0,61.0321,27.5041
1717229489,2.0,61.0395,27.2536
1717229489,3.0,67.6452,24.8257
1717229489,2.0,67.6901,25.0057
1717229489,25.0,64.9075,29.3354
1717229489,19.0,65.0106,29.5623
1717229489,13.0,64.7713,29.3254
1717229489,8.0,64.8876,29.4541
1717229489,12.0,64.8705,29.2436
1717229489,6.0,64.8905,29.3555
1717229490,4.0,61.738,22.0489
1717229490,5.0,61.656,21.9657
1717229492,5.0,60.9914,26.8647
1717229496,7.0,60.8029,21.7836
1717229496,6.0,60.7413,21.4674
1717229496,5.0,67.6823,24.8481
1717229496,3.0,67.8155,24.973
1717229496,4.0,67.7783,24.1592
